,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
13425,"Protocol for Life Balance, Жевательные таблетки ProtoDophilus, 10 млрд, 60 жевательных таблеток",Protocol for Life Balance,2025-06-01,60,шт.,0.12,5103,Поддержка пищеварения,11.0,5.7,5.8,жевательный таблетка protodophilus млрд,13
13426,"NOW Foods, Probiotic-10, 25 млрд, 100 растительных капсул",NOW Foods,2025-07-01,100,шт.,0.06,6910,Поддержка пищеварения,10.5,4.8,4.8,probiotic млрд,13
13427,"Irwin Naturals, Active-Cleanse and Probiotics, с алоэ и трифалой, 60 мягких желатиновых капсул с жидкостью",Irwin Naturals,2025-12-01,60,шт.,0.29,3489,Поддержка пищеварения,6.6,6.6,12.2,active cleanse and probiotics алоэ трифалой,13
13428,"Garden of Life, Пробиотики Raw, для здоровья толстой кишки, 30 вегетарианских капсул",Garden of Life,,30,шт.,0.08,5677,Поддержка пищеварения,11.9,6.1,6.1,пробиотик raw здоровье толстый кишка,13
13429,"NaturesPlus, GI Natural Probiotic Mega, пробиотики, 120 млрд КОЕ, 30 капсул",NaturesPlus,2025-12-01,30,шт.,0.07,7449,Поддержка пищеварения,10.7,5.8,6.1,natural probiotic mega пробиотик млрд кой,13
13430,"Garden of Life, Dr. Formulated Probiotics, Prostate+, 60 вегетарианских капсул",Garden of Life,,60,шт.,0.11,6009,Поддержка пищеварения,11.9,6.1,6.1,formulated probiotics prostate,13
13431,"Life Extension, FLORASSIST, пробиотик, для гигиены полости рта, 30 вегетарианских пастилок",Life Extension,2024-11-01,30,шт.,0.04,2764,Поддержка пищеварения,9.3,4.6,4.6,florassist пробиотик гигиена полость рот,13
13432,"Beekeeper's Naturals, B. Biome Complete Gut Health, Pre, Pro + Postbiotic, 60 Capsules",Beekeeper's Naturals,2025-10-01,60,шт.,0.19,7446,Поддержка пищеварения,9.8,5.6,5.5,biome complete gut health pre pro postbiotic,13
13433,"LoveBug Probiotics, Advanced Strength, пробиотик для ежедневного приема, 50 млрд КОЕ, 30 штук",LoveBug Probiotics,2025-12-01,30,шт.,0.16,4283,Поддержка пищеварения,11.6,6.6,6.6,advanced strength пробиотик ежедневный прием млрд кой,13
13434,"Nature's Truth, Ultimate Probiotic-14, 25 млрд, 60 капсул с быстрым высвобождением",Nature's Truth,2024-12-01,60,шт.,0.07,4002,Поддержка пищеварения,11.3,5.3,9.7,ultimate probiotic млрд,13
13435,"Nutrition Now, PB8, 10 млрд, 60 капсул",Nutrition Now,2025-07-01,60,шт.,0.05,4686,Поддержка пищеварения,10.8,5.8,5.8,pb8 млрд,13
13436,"Allergy Research Group, Essential-Biotic Complete, 50 млрд КОЕ, 60 вегетарианских капсул с отсроченным высвобождением",Allergy Research Group,2025-01-01,60,шт.,0.14,7597,Поддержка пищеварения,9.7,5.2,5.2,essential biotic complete млрд кой,13
13437,"Probulin, Total Care Immune, пробиотики, пребиотики и постбиотики с настоящей бузиной, 20 млрд, 30 капсул (20 млрд КОЕ в 1 капсуле)",Probulin,2025-09-01,30,шт.,0.05,6056,Поддержка пищеварения,11.9,8.6,4.4,total care immune пробиотик пребиотик постбиотик настоящий бузина млрд,13
13438,"Jarrow Formulas, Vegan Jarro-Dophilus, Digest Sure, 5 млрд КОЕ, 30 таблеток",Jarrow Formulas,2025-05-01,30,шт.,0.07,3625,Поддержка пищеварения,8.9,5.8,5.8,vegan jarro dophilus digest sure млрд кой,13
13439,"MRM Nutrition, Nutrition, пробиотики для ежедневной поддержки, 5 млрд клеток, 30 растительных капсул",MRM Nutrition,2025-09-01,30,шт.,0.16,2259,Поддержка пищеварения,10.2,5.6,5.6,nutrition пробиотик ежедневный поддержка млрд клетка,13
13440,"Garden of Life, Primal Defense, Ultra, универсальная пробиотическая формула, 180 вегетарианских капсул UltraZorbe",Garden of Life,,180,шт.,0.41,12460,Поддержка пищеварения,7.6,7.6,14.5,primal defense ultra универсальный пробиотический формула,13
13441,"Swanson, Комплекс ультрапробиотиков, 30 млрд КОЕ, 60 растительных капсул для эмбо",Swanson,2024-05-01,60,шт.,0.06,5898,Поддержка пищеварения,10.5,5.0,5.0,комплекс ультрапробиотик млрд кой,13
13442,"Life Extension, FLORASSIST, иммунная защита и легкое дыхание, 30 вегетарианских капсул",Life Extension,2026-01-01,30,шт.,0.05,4618,Поддержка пищеварения,9.7,4.6,4.6,florassist иммунный защита легкий дыхание,13
13443,"Doctor's Best, пищеварительный пробиотик, 20 миллиардов КОЕ, с Ховару, 30 растительных капсул",Doctor's Best,2025-07-01,30,шт.,0.05,2722,Поддержка пищеварения,15.7,9.1,3.9,пищеварительный пробиотик миллиард кой ховар,13
13444,"New Chapter, Пробиотик для женщин, 10 млрд КОЕ, 60 веганских капсул",New Chapter,2024-05-01,60,шт.,0.18,8978,Поддержка пищеварения,11.0,6.1,6.0,пробиотик женщина млрд кой,13
13445,"Kyolic, Kyo-Dophilus, фермент + пробиотик, 2 млрд, 120 капсул (1 млрд КОЕ на капсулу)",Kyolic,2026-09-01,120,шт.,0.23,4873,Поддержка пищеварения,5.8,5.8,11.2,kyo dophilus фермент пробиотик млрд,13
13446,"Nature's Way, Fortify Optima Probiotic, для взрослых старше 50 лет, 50 миллиардов, 30 растительных капсул с отсроченным высвобождением",Nature's Way,2025-01-01,30,шт.,0.05,4324,Поддержка пищеварения,8.1,3.6,13.7,fortify optima probiotic взрослый старый год миллиард,13
13447,"American Health, Один раз в день жевательный пробиотик, из натурального винограда, 5 млрд КОЕ, 30 жевательных таблеток",American Health,,30,шт.,0.07,2192,Поддержка пищеварения,8.6,6.2,6.4,день жевательный пробиотик натуральный виноград млрд кой,13
13448,"Swanson, Happy Microbiome Stress Support, пробиотик, 3 млрд КОЕ, 30 растительных капсул",Swanson,2024-10-01,30,шт.,0.07,3570,Поддержка пищеварения,8.9,4.7,4.6,happy microbiome stress support пробиотик млрд кой,13
13449,"Lake Avenue Nutrition, Пробиотик в мини-таблетках, 2 штамма здоровых бактерий, 1 млрд КОЕ, 90 маленьких мягких таблеток",Lake Avenue Nutrition,2024-11-01,90,шт.,0.03,4662,Поддержка пищеварения,14.2,8.9,2.8,пробиотик мини таблетка штамм здоровый бактерия млрд кой,13
13450,"NatureWise, Max Care, пробиотики, WiseBiotics, с отсроченным высвобождением, 60 капсул",NatureWise,2026-06-01,60,шт.,0.07,6056,Поддержка пищеварения,11.0,5.8,5.7,max care пробиотик wisebiotics отсрочивать высвобождение,13
13451,"Garden of Life, Пробиотики, 100 млрд, 30 вегетарианских капсул",Garden of Life,,30,шт.,0.08,5788,Поддержка пищеварения,12.1,6.1,6.0,пробиотик млрд,13
13452,"Advanced Naturals, Ultimate FloraMax, ежедневный уход, 30 млрд, 30 растительных капсул",Advanced Naturals,2025-04-01,30,шт.,0.05,5102,Поддержка пищеварения,9.9,4.8,5.1,ultimate floramax ежедневный уход млрд,13
13453,"Hyperbiotics, PRO-15, идеальный пробиотик, 5 млрд КОЕ, 60 запатентованных микрогранул с замедленным высвобождением",Hyperbiotics,2025-05-01,60,шт.,0.04,5262,Поддержка пищеварения,8.6,4.4,4.3,pro идеальный пробиотик млрд кой,13
13454,"Renew Life, Ultimate Flora, пробиотик для ежедневного применения, 15 миллиардов живых культур, 30 вегетарианских капсул",Renew Life,2025-11-01,30,шт.,0.06,3798,Поддержка пищеварения,11.4,5.6,5.6,ultimate flora пробиотик ежедневный применение миллиард живой культура,13
13455,"NaturesPlus, GI Natural, пробиотик для мужчин, 60 млрд КОЕ, 30 капсул",NaturesPlus,2025-12-01,30,шт.,0.07,5870,Поддержка пищеварения,9.9,5.5,5.5,natural пробиотик мужчина млрд кой,13
